Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
,,Rekha Cine Arts,,Anandakkuttan,,Kurian Varnasala,Dr Balakrishnan,P Chandrakumar,,G Venkittaraman,"Dr Balakrishnan, Sathyan Anthikkad",,Manassoru Mayil (1977),,AT Ummer,,,Dr Balakrishnan,,"KJ Yesudas, Latha Raju",,In progress,Dr Balakrishnan,"['Praveena (Old)', 'Pattom Sadan', 'Sankaradi', 'Raghavan', 'Jayabharathi', 'Kuthiravattam Pappu', 'Vincent', 'Jayan']"
,,Thiruvonam Pictures,,EN Balakrishnan,,,Kakkanadan,Cross Belt Mani,,N Gopalakrishnan,"Yusufali Kecheri, Bharanikkavu Sivakumar",,Neethipeedham (1977),,G Devarajan,,Cross Belt Mani,Nagavally RS Kurup,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,,"['Madhu', 'Sheela']"
,,Sreeganesh Kalamandir,,Vipin Das,,SA Nair,Alleppey Sherif,IV Sasi,,K Narayanan,Sreekumaran Thampi,,Hridayame Saakshi (1977),,MS Viswanathan,,"NC Menon, YV Gopikrishnan",Alleppey Sherif,,"KJ Yesudas, S Janaki, P Susheela, Ambili, KP Brahmanandan, Saibaba",,In progress,Alleppey Sherif,"['Jayabharathi', 'Sharada', 'Prem Nazir']"
,,Abhayam Movies,,J Williams,,,N Sankaran Nair,N Sankaran Nair,,,"MB Sreenivasan, Perumpuzha Gopalakrishnan",,Sivathaandavam (1977),,MB Sreenivasan,,,N Sankaran Nair,,"KJ Yesudas, Vani Jairam, Kamalahasan, Usha Uthup",,In progress,N Sankaran Nair,"['Kaviyoor Ponnamma', 'Kamalahasan', 'Bahadoor', 'Jayasudha', 'MG Soman']"
,,Evershine Productions,,C Ramachandra Menon,,,Pappanamkodu Lakshmanan,Sasikumar,Evershine Release,K Sankunni,Pappanamkodu Lakshmanan,,Muttathe Mulla (1977),,V Dakshinamoorthy,,Thiruppathi Chettiyar,,,"KJ Yesudas, P Jayachandran, Ambili, Jayashree",,In progress,Pappanamkodu Lakshmanan,"['Kunchan', 'Vidhubala', 'Usharani', 'Thikkurissi Sukumaran Nair', 'Prem Nazir', 'Jose Prakash', 'KP Ummer', 'MG Soman', 'Adoor Bhasi', 'TR Omana']"
,,,,KV Kanniyappan,,,MR Joseph,Sasikumar,,K Narayanan,Mankombu Gopalakrishnan,,Sakhaakkale Munnottu (1977),,G Devarajan,,TK Balachandran,Sasikumar,,"KJ Yesudas, P Jayachandran, P Madhuri, CO Anto, Karthikeyan",,1977-05-05,Sasikumar,"['Prem Nazir', 'Unnimary', 'Vidhubala']"
,,Neela Productions,,NA Thara,,,Nagavally RS Kurup,P Subramaniam,,KB Singh,Sreekumaran Thampi,,Rowdy Raajamma (1977),,G Devarajan,,,Nagavally RS Kurup,,"KJ Yesudas, P Susheela",,In progress,Nagavally RS Kurup,"['Madhu', 'Jayaprabha']"
Radhakrishnan (RK),"KJ Joy, Kumarakam Rajappan",Priyadarsini Movies,,TN Krishnankutty Nair,,,SL Puram Sadanandan,Hariharan,Thirumeni Release,,Mankombu Gopalakrishnan,,Ivanente Priyaputhran (1977),,KJ Joy,,"C Das, KC Joy",SL Puram Sadanandan,,"KJ Yesudas, P Susheela",,1977-09-29,SL Puram Sadanandan,"['Prem Nazir', 'Sheela', 'MG Soman']"
K Balan,,Rajashilpi,,JG Vijayam,,,Sreekumaran Thampi,Sasikumar,,K Sankunni,Sreekumaran Thampi,,Thuruppugulaan (1977),,V Dakshinamoorthy,,Sreekumaran Thampi,Sreekumaran Thampi,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, P Leela, Vani Jairam, KP Brahmanandan, Jayashree, Jolly Abraham, Latha Raju",,In progress,Sreekumaran Thampi,"['Vidhubala', 'Prem Nazir']"
S Konnannattu,,Sreevardhini Productions,,U Rajagopal,,Radhakrishnan (RK),SL Puram Sadanandan,PG Vishwambharan,Haseena Films Release,VP Krishnan,Sreekumaran Thampi,,Sathyavaan Saavithri (1977),,G Devarajan,,R Devarajan,SL Puram Sadanandan,,"KJ Yesudas, P Jayachandran, P Madhuri, KP Brahmanandan, CO Anto",,In progress,,"['Thikkurissi Sukumaran Nair', 'TP Madhavan', 'Pattom Sadan', 'PK Abraham', 'Kaduvakulam Antony', 'Sumathi (Baby Sumathi)', 'Aranmula Ponnamma', 'Sreelatha Namboothiri', 'Sridevi', 'Lissy (Old)', 'Sankaradi', 'Manavalan Joseph', 'Kamalahasan', 'Jose Prakash', 'Adoor Bhasi', 'Kaviyoor Ponnamma']"
Radhakrishnan (RK),,Swapna Films,,G Vittal Rao,,Radhakrishnan (RK),Surasu,A Bheem Singh,Rajasree Release,K Sankunni,Bichu Thirumala,,Nirakudam (1977),,Jaya Vijaya,,Baby,Surasu,,"KJ Yesudas, P Susheela, LR Anjali",,In progress,MS Cholamalai,"['Kamalahasan', 'Sridevi']"
,,General Films Corporation,,Jagadeesh,,,P Ayyaneth,Babu Nanthankodu,,,Mankombu Gopalakrishnan,,Karnaparvam (1977),,G Devarajan,,,P Ayyaneth,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,P Ayyaneth,"['Jayabharathi', 'KPAC Lalitha', 'Bahadoor', 'KP Ummer', 'Kanakadurga', 'Meena (Old)', 'Vincent']"
Radhakrishnan (RK),,Manikantan Productions,,CJ Mohan,,,SL Puram Sadanandan,Sasikumar,Nirmala Films,K Sankunni,Sreekumaran Thampi,,Chathurvedam (1977),,G Devarajan,,SSR Kalaivaanan,SL Puram Sadanandan,,"KJ Yesudas, P Madhuri",,In progress,SL Puram Sadanandan,"['Prem Nazir', 'Adoor Bhasi', 'Thikkurissi Sukumaran Nair', 'Sankaradi', 'Sreelatha Namboothiri', 'Alummoodan', 'Bahadoor', 'Meena (Old)', 'Padmapriya (Old)', 'Paravoor Bharathan', 'Philomina']"
,,Roopalekha,,,,,JC George,Charles Ayyampilly,,,"Vayalar, Bharanikkavu Sivakumar",,Chakravarthini (1977),,G Devarajan,,George Vargheese,JC George,,"P Jayachandran, P Madhuri, KP Brahmanandan, B Vasantha",,In progress,JC George,"['Sukumari', 'Adoor Bhasi', 'Alummoodan', 'Bahadoor', 'KP Ummer', 'MG Soman', 'Mallika Sukumaran', 'Sumithra', 'Vincent']"
,,Suguna Screen,,SS Maniyan,,Kurian Varnasala,SL Puram Sadanandan,Adoor Bhasi,,Vijayanand,Sreekumaran Thampi,,Aadyapaadam (1977),,AT Ummer,,,SL Puram Sadanandan,,"KJ Yesudas, Vani Jairam, KP Brahmanandan",,In progress,,"['Kamalahasan', 'Sridevi', 'Sheela']"
,,,,CJ Mohan,,,SL Puram Sadanandan,Sasikumar,,G Venkittaraman,Sreekumaran Thampi,,Mohavum Mukthiyum (1977),,MK Arjunan,,Shanmugha Films,SL Puram Sadanandan,,"KJ Yesudas, Vani Jairam, B Vasantha, Sreelatha Namboothiri, Zero Babu",,In progress,SL Puram Sadanandan,"['Lakshmi', 'Sheela', 'Prem Nazir']"
S Konnannattu,,Sree sharkkareswari films,Thankappan,J Williams,Sundaram,SA Nair,Jagathy NK Achari,N Sankaran Nair,Ambika Films Release,K Sankunni,"Yusufali Kecheri, Perumpuzha Gopalakrishnan",MO Devasya,Sreedevi (1977),,G Devarajan,,PS Nair,Jagathy NK Achari,,"KJ Yesudas, P Susheela, P Leela, P Madhuri",,1977-03-25,,"['MG Soman', 'Kamalahasan', 'Sharada']"
Sreeni,Salil Chowdhury,Priya Films,,K Ramachandrababu,Ramachandran,Seera Karyavattam,"Ramu Kariyat, Vijayan Karote",Ramu Kariyat,Central Pictures Release,Hrishikesh Mukherjee,"Vayalar, Yusufali Kecheri",PN Mani,Dweepu (1977),,MS Baburaj,,NP Abu,"Ramu Kariyat, Vijayan Karote",,"P Susheela, P Jayachandran, Kalanilayam Rajasekharan, Kalyani Menon, Talat Mahmood",Krishna Ilamon,In progress,"Ramu Kariyat, Vijayan Karote","['Kuttyedathi Vilasini', 'Shobha', 'Jose']"
Sreeni,,Sarada Sathya Combines,,TN Krishnankutty Nair,,Sreeni,George Onakkoor,Madhu,Jolly Films Release,G Venkittaraman,Bichu Thirumala,,Aaraadhana (1977),,KJ Joy,,Sathyadevi,George Onakkoor,,"KJ Yesudas, S Janaki, P Jayachandran",,In progress,Sulochana Rani,"['Madhu', 'Sharada', 'Vidhubala']"
S Konnannattu,,Supriya,,K Ramachandrababu,,Kurian Varnasala,Pappanamkodu Lakshmanan,Sasikumar,Haseena Films Release,K Narayanan,Yusufali Kecheri,,Randu Lokam (1977),Family Story,G Devarajan,,Hari Pothan,,,"KJ Yesudas, P Jayachandran, P Madhuri",,1977-12-30,Maliyam Rajagopal,"['Prem Nazir', 'Sharada', 'MG Soman', 'Jayabharathi']"
,,Geo Movies,,JG Vijayam,,,Pappanamkodu Lakshmanan,Sasikumar,,VP Krishnan,Sreekumaran Thampi,,Minimol (1977),,G Devarajan,,NG John,Pappanamkodu Lakshmanan,,"KJ Yesudas, P Jayachandran, P Madhuri, CO Anto, T Santha",,In progress,Pappanamkodu Lakshmanan,"['Vidhubala', 'Unnimary', 'Thodupuzha Radhakrishnan', 'Thikkurissi Sukumaran Nair', 'TP Thomas', 'Reena', 'Prathapachandran', 'Pattom Sadan', 'Pala Thankam', 'Nellikkode Bhaskaran', 'Meena (Old)', 'Master Kumar', 'Bahadoor', 'Cochin Haneefa', 'Sreelatha Namboothiri', 'Sankaradi', 'Prema', 'Jose Prakash', 'Adoor Bhasi', 'Kaviyoor Ponnamma', 'Sukumari', 'Prem Nazir', 'KA Vasudevan']"
Narayanankutty,,Rose Movies,,EN Balakrishnan,,,Jagathy NK Achari,Cross Belt Mani,,Chakrapani,Mankombu Gopalakrishnan,,Penpuli (1977),,G Devarajan,,,Jagathy NK Achari,,"KJ Yesudas, P Madhuri, Jolly Abraham, Karthikeyan",,In progress,Jagathy NK Achari,"['KPAC Lalitha', 'Adoor Bhasi', 'Rajakokila', 'Unnimary', 'Vijaya', 'Vincent']"
A Narayanan Kutty,,Evershine Productions,,C Ramachandran,,Kurian Varnasala,Alleppey Sherif,IV Sasi,Evershine Release,K Narayanan,"Bichu Thirumala, Chirayinkeezhu Ramakrishnan Nair",,Innale Innu (1977),,G Devarajan,,Thiruppathi Chettiyar,Alleppey Sherif,,"KJ Yesudas, P Madhuri",,In progress,Alleppey Sherif,"['Sheela', 'Prem Nazir']"
,,Chithrakalakendram,,Marcus Bertly,,SA Nair,N Govindankutty,KS Sethumadhavan,Central Pictures Release,TR Sreenivasalu,Mankombu Gopalakrishnan,,Ormakal Marikkumo (1977),,MS Viswanathan,,"KS Sethumadhavan, KSR Moorthy",KS Sethumadhavan,,"KJ Yesudas, Sujatha Mohan, Vani Jairam",,In progress,Joseph Anand,"['Kamalahasan', 'Vidhubala', 'Shobha', 'MG Soman']"
Mohana,,Prathap Chithra,,SS Maniyan,VM Muthu,SA Nair,VT Nandakumar,PN Sundaram,Ajantha Films,G Venkittaraman,P Bhaskaran,PN Krishnan,Aparaadhi (1977),,Salil Chowdhury,,Pavamani,VT Nandakumar,,"S Janaki, Sujatha Mohan, Vani Jairam, Ambili, Sheela, Jolly Abraham, Latha Raju, Master Sreejith, Anitha (New)",,In progress,Joseph Main,"['Jayabharathi', 'Madhu', 'Sheela', 'Prem Nazir']"
Somayya,,Sreekanth Productions,,Manohar,,,Sreekumaran Thampi,Singitham Sreenivasa Rao,,Chakrapani,"P Bhaskaran, Sreekumaran Thampi",,Niraparayum Nilavilakkum (1977),,V Dakshinamoorthy,,,Sreekumaran Thampi,,"P Jayachandran, Vani Jairam, KP Brahmanandan, Jayashree, Latha Raju, Shakeela Balakrishnan",,In progress,Sreekumaran Thampi,"['Sheela', 'Sankaradi', 'Cochin Haneefa', 'KP Ummer', 'Pattom Sadan', 'Ravi Menon', 'Sumithra', 'TP Madhavan', 'Thikkurissi Sukumaran Nair', 'Vincent']"
,,RMS Productions,,J Williams,,,Sreekumaran Thampi,Sasikumar,,Babu Rao,Sreekumaran Thampi,,Vishukkani (1977),,Salil Chowdhury,,RM Sundaram,Sreekumaran Thampi,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Vani Jairam",,In progress,Sreekumaran Thampi,"['Prem Nazir', 'Sharada', 'Thikkurissi Sukumaran Nair', 'Sankaradi', 'Sreelatha Namboothiri', 'MG Soman', 'Vidhubala']"
S Konnannattu,,Geethanjali,,U Rajagopal,,SA Nair,Nagavally RS Kurup,P Bhaskaran,,K Sankunni,P Bhaskaran,,Sreemad Bhagavadgeetha (1977),Mythology,V Dakshinamoorthy,Mythology,P Bhaskaran,Nagavally RS Kurup,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, P Leela, Ambili, Jayashree",,In progress,,"['Sankaradi', 'Sreemoolanagaram Vijayan', 'TR Omana', 'TS Muthaiah', 'Kaviyoor Ponnamma', 'Srividya', 'GK Pillai', 'Prathapachandran', 'O Ramdas', 'Manavalan Joseph', 'Mohan Sharma', 'KPAC Lalitha', 'Thikkurissi Sukumaran Nair', 'Jose Prakash', 'Mallika Sukumaran', 'Muralimohan', 'N Govindankutty', 'PK Abraham', 'TP Madhavan', 'Vallathol Unnikrishnan', 'Vidhubala', 'Dashaavathaaram Ravikumar']"
,,Evershine,,C Ramachandra Menon,,Kurian Varnasala,Alleppey Sherif,IV Sasi,,K Narayanan,Sreekumaran Thampi,,Akale Aakaasham (1977),,G Devarajan,,Thiruppathi Chettiyar,Alleppey Sherif,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,Alleppey Sherif,"['Madhu', 'Adoor Bhasi', 'Sridevi', 'Sreelatha Namboothiri', 'Bahadoor', 'MG Soman', 'Meena (Old)', 'Nanditha Bose', 'Padmapriya (Old)', 'Vidhubala']"
K Balan,,Bhavani Rajeswari,,JM Vijayan,,SA Nair,Sreekumaran Thampi,Sasikumar,Central Pictures Release,K Sankunni,Sreekumaran Thampi,,Akshayapaathram (1977),,MS Viswanathan,,Sreekumaran Thampi,MP Rajeevan,,"KJ Yesudas, S Janaki, P Susheela, Vani Jairam",,In progress,Kedamangalam Sadanandan,"['Lakshmi', 'Prem Nazir']"
Radhakrishnan (RK),,Jaya Maruthi,,C Namasivayam,,,SL Puram Sadanandan,AB Raj,,BS Mani,Sreekumaran Thampi,,Kaduvaye Pidicha Kiduva (1977),,V Dakshinamoorthy,,TE Vasudevan,SL Puram Sadanandan,,"KJ Yesudas, P Susheela, Vani Jairam",,In progress,SL Puram Sadanandan,"['Prem Nazir', 'Sukumari', 'Adoor Bhasi', 'Lakshmi', 'Sam', 'Sankaradi', 'Sreemoolanagaram Vijayan', 'GK Pillai', 'Jayamalini', 'KP Ummer', 'PK Abraham', 'Paravoor Bharathan', 'Veeran', 'Vijayalalitha']"
S Konnannattu,,Manoj Movie Makers,,J Williams,,Kurian Varnasala,Pappanamkodu Lakshmanan,Sasikumar,Jolly Films Release,K Narayanan,Pappanamkodu Lakshmanan,,Rathimanmadhan (1977),,MS Viswanathan,,"Naseema Kabeer, MA Rahman",Pappanamkodu Lakshmanan,,"KJ Yesudas, P Jayachandran, LR Eeswari, Jolly Abraham",,1977-11-18,,"['Jayabharathi', 'Prem Nazir']"
,,Dhanya Productions,,PS Nivas,,,Surasu,Baby,,,"Sreekumaran Thampi, Sreedharanunni",,Sankhupushpam (1977),,MK Arjunan,,Raghu Kumar,Surasu,,"KJ Yesudas, S Janaki, P Jayachandran, Vani Jairam",,In progress,Vijayan,"['KPAC Lalitha', 'Jose Prakash', 'Prema', 'Nilambur Balan', 'Sukumaran', 'Sumathi (Baby Sumathi)', 'Bahadoor', 'Sukumari', 'Kuthiravattam Pappu', 'MG Soman', 'Philomina', 'Vidhubala', 'Kunchan']"
K Balan,,JJ Arts,,Ashok Kumar,,,Thoppil Bhasi,JD Thottan,,VP Krishnan,"P Bhaskaran, Vayalar",,Nurayum Pathayum (1977),,G Devarajan,,JD Thottan,Thoppil Bhasi,,"KJ Yesudas, P Madhuri",,In progress,Thakazhi Sivasankarapillai,"['Madhu', 'Adoor Bhasi', 'PJ Antony', 'Sankaradi', 'Shobha', 'Bahadoor', 'Kanakadurga', 'Prathapachandran', 'Sadhana']"
,,,,Madhu Ambatt,,Bharathan,JC George,P Govindan,,G Venkittaraman,Sathyan Anthikkad,,Saritha (1977),,Shyam,,Suvarna Rekha,"JC George, P Govindan, Madhu Ambatt",,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Mallika Sukumaran",,In progress,"P Govindan, Madhu Ambatt","['Mohan Sharma', 'Vidhubala']"
,,Jaya Maruthi,,N Karthikeyan,,,Moithu Padiyathu,M Krishnan Nair,,,P Bhaskaran,,Yatheem (1977),,MS Baburaj,,TE Vasudevan,,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Vani Jairam, LR Eeswari, Ambili",,1977-09-14,Moithu Padiyathu,"['Kunjava', 'Paravoor Bharathan', 'Khadeeja', 'Vanchiyoor Radha', 'Kottayam Santha', 'Pala Thankam', 'Santhadevi', 'Nellikkode Bhaskaran', 'Sheela', 'Adoor Bhasi', 'Sankaradi', 'Sreemoolanagaram Vijayan', 'Bahadoor', 'KP Ummer', 'Philomina', 'Ravikumar', 'Sathar', 'Sudheer', 'Thikkurissi Sukumaran Nair', 'Unnimary', 'Vidhubala', 'Nilambur Balan', 'Prameela']"
,,Sobhana Prem Combines,,J Williams,,Radhakrishnan (RK),Thoppil Bhasi,N Sankaran Nair,Haseena Films Release,MS Mani,"P Bhaskaran, Swathi Thirunal",,Poojakkedukkaatha Pookkal (1977),,K Raghavan,,"Prem Navas, Sobhana Parameswaran Nair",Thoppil Bhasi,,"P Susheela, Ambili, KP Brahmanandan, M Balamuralikrishna, Chorus, Padmini Warrier",,In progress,N Mohanan,"['Madhu', 'Sheela']"
A Narayanan Kutty,,Jaleela Enterprises,,Vipin Das,"N Prabhakaran, MS Mahadevan",Kurian Varnasala,Alleppey Sherif,IV Sasi,Evershine Release,K Narayanan,Sreekumaran Thampi,MO Devasya,Aanandam Paramaanandam (1977),,G Devarajan,,,Alleppey Sherif,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri, B Vasantha, Karthikeyan, Pattom Sadan",,In progress,Rama Arankannal,"['Kamalahasan', 'Kamalahasan', 'Shobhana (Roja Ramani)', 'Chandralekha', 'Ravikumar', 'Unnimary']"
,,Kanthi Harsha,,,,,PK Abraham,P Gopikumar,,K Sankunni,Kanam EJ,,Ashtamangalyam (1977),,MK Arjunan,,KH Khan Sahib,PK Abraham,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Vani Jairam, KP Brahmanandan",,In progress,J K V,"['Kamalahasan', 'Vidhubala']"
Jacob,,Sanjay Productions,,C Ramachandra Menon,,Kurian Varnasala,Alleppey Sherif,IV Sasi,Evershine Release,K Narayanan,Sreekumaran Thampi,MO Devasya,Anjali (1977),,G Devarajan,,A Raghunath,Alleppey Sherif,,"KJ Yesudas, P Jayachandran, P Madhuri, Karthikeyan, Sreekanth",,In progress,Alleppey Sherif,"['Prem Nazir', 'Sharada', 'MG Soman']"
,,KK Productions,,J Williams,,,Jagathy NK Achari,N Sankaran Nair,,T Sasikumar,ONV Kurup,,Kaavilamma (1977),,G Devarajan,,,Jagathy NK Achari,,"KJ Yesudas, P Madhuri, Vani Jairam, CO Anto",,In progress,Jagathy NK Achari,"['Madhu', 'Jayan', 'Sheela', 'Jagathy Sreekumar', 'Manavalan Joseph', 'Sreelatha Namboothiri', 'Bahadoor', 'Mallika Sukumaran', 'Pattom Sadan', 'Vettoor Purushan']"
,,Ragam Pictures,,C Namasivayam,,Kurian Varnasala,KG Sethunath,Anthikkad Mani,Suguna Screen Release,K Sankunni,Mankombu Gopalakrishnan,,Sukradasa (1977),,MK Arjunan,,Babu Jose,KG Sethunath,,"KJ Yesudas, Vani Jairam, KP Brahmanandan, B Vasantha",,In progress,KG Sethunath,"['Jayabharathi', 'Raghavan']"
,,Kalanilayam Films,,,,,Cheri Viswanath,M Krishnan Nair,,,"Mankombu Gopalakrishnan, Cheri Viswanath",,Thaalappoli (1977),,V Dakshinamoorthy,,,,,"KJ Yesudas, P Susheela, Vani Jairam",,In progress,Kalanilayam,"['Vincent', 'Sudheer', 'Meena (Old)', 'Sankaradi', 'Prameela', 'Noohu']"
Balan,,Sree Murugalaya Films,,CJ Mohan,,Kurian Varnasala,MR Joseph,Sasikumar,Dinny Films Release,K Sankunni,Sreekumaran Thampi,,Lakshmi (1977),,G Devarajan,,EK Thyagarajan,MR Joseph,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri",,In progress,CM Muthu,"['Prem Nazir', 'Sheela', 'Jayabharathi', 'Adoor Bhasi', 'Sankaradi', 'Sreelatha Namboothiri', 'Bahadoor', 'MG Soman', 'Meena (Old)', 'Sadhana']"
,,Haseena Films,,K Ramachandrababu,,Kurian Varnasala,Dr Balakrishnan,AT Raghu,Haseena Films Release,VP Krishnan,"Yusufali Kecheri, Mankombu Gopalakrishnan",,Snehayamuna (1977),,KJ Joy,,,Dr Balakrishnan,,"KJ Yesudas, P Susheela, KC Varghese Kunnamkulam, Pattom Sadan, Saibaba",,In progress,Dr Balakrishnan,"['Lakshmi', 'Mohan Sharma', 'MG Soman']"
Radhakrishnan (RK),,Jaydevi Movies,,N Karthikeyan,,SA Nair,KP Kottarakkara,M Krishnan Nair,,K Sankunni,Sreekumaran Thampi,,Santha Oru Devatha (1977),,MK Arjunan,,Sarada,KP Kottarakkara,,"KJ Yesudas, P Susheela, P Jayachandran, Vani Jairam",,In progress,KP Kottarakkara,"['Vidhubala', 'KR Vijaya', 'Sukumaran', 'Madhu']"
,,Manjilas,,S Navkanth,,,Thoppil Bhasi,A Vincent,,MS Mani,Sasikala Menon,,Agninakshathram (1977),,G Devarajan,,MO Joseph,,,"KJ Yesudas, P Susheela, P Leela, P Madhuri, Latha Raju",,In progress,CL Jose,"['Mohan Sharma', 'Lakshmi']"
,,Sree Rajesh Films,,Anandakkuttan,,SA Nair,Sreekumaran Thampi,Sasikumar,Jolly Films Release,G Venkittaraman,Sreekumaran Thampi,,Aparaajitha (1977),,AT Ummer,,RS Prabhu,Sreekumaran Thampi,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran",,In progress,Sasikumar,"['Jayabharathi', 'Sharada', 'Prem Nazir']"
Narayanankutty,,MS Productions,,Vipin Das,,"SA Nair, VM Balan",Alleppey Sherif,IV Sasi,Jolly Films Release,K Narayanan,Sreekumaran Thampi,,Abhinivesham (1977),,Shyam,,"CC Baby, VM Chandi",Alleppey Sherif,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran",,In progress,Alleppey Sherif,"['Ravikumar', 'Padmapriya (Old)', 'Sumithra']"
,,,,TN Krishnankutty Nair,,,Moithu Padiyathu,Moithu Padiyathu,,,P Bhaskaran,,Allahu Akbar (1977),,MS Baburaj,,Hashim Production,,,"KJ Yesudas, S Janaki, LR Eeswari, B Vasantha, CO Anto",,In progress,Moithu Padiyathu,"['Vincent', 'Jeasy', 'Jayabharathi', 'Raghavan', 'Ambika Sukumaran']"
,,Balabhaskar Films,,PS Nivas,,Kurian Varnasala,Dr Balakrishnan,Dr Balakrishnan,,G Venkittaraman,"Bichu Thirumala, Bharanikkavu Sivakumar, Appan Thachethu",,Raajaparampara (1977),,AT Ummer,,MP Bhaskaran,Dr Balakrishnan,,"KJ Yesudas, S Janaki, Sujatha Mohan",,In progress,Dr Balakrishnan,"['Jayan', 'Jayabharathi', 'Jose Prakash', 'Shobha', 'Raghavan', 'Kuthiravattam Pappu', 'Reena', 'Sudheer', 'Vincent']"
Radhakrishnan (RK),,Maharaja Films,,K Ramachandrababu,,Kurian Varnasala,VT Nandakumar,Jeasy,,K Narayanan,Yusufali Kecheri,,Veedu Oru Swargam (1977),,G Devarajan,Samaadhi,Isaac John,VT Nandakumar,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri, Latha Raju",,In progress,VT Nandakumar,"['Prem Nazir', 'Sheela', 'Sukumari', 'KPAC Lalitha', 'Adoor Bhasi', 'Sankaradi', 'Janardanan', 'KP Ummer', 'MG Soman', 'Vidhubala']"
S Konnannattu,,Supriya,,K Ramachandrababu,,Radhakrishnan (RK),P Padmarajan,IV Sasi,Evershine Release,K Narayanan,Yusufali Kecheri,,Itha Ivide Vare (1977),,G Devarajan,,Hari Pothan,P Padmarajan,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,P Padmarajan,"['Sharada', 'Jayabharathi', 'MG Soman', 'Madhu']"
,,Vijayakalachithra,,CS Shekhar,,SA Nair,Alleppey Sherif,IV Sasi,,K Narayanan,Sreekumaran Thampi,,Anthardaaham (1977),,MK Arjunan,,,Alleppey Sherif,,"KJ Yesudas, P Susheela, P Jayachandran, Ambili",,In progress,Maniyan,"['Sreedevi', 'MG Soman', 'Vincent', 'Sreepriya']"
,,JS Films,,Melli Irani,,,Sreekumaran Thampi,A Bheem Singh,,,Sreekumaran Thampi,,Sneham (1977),,Jaya Vijaya,,KNS Jaffarsha,Sreekumaran Thampi,,"KJ Yesudas, Jolly Abraham",,In progress,,"['Sukumari', 'Adoor Bhasi', 'Mallika Sukumaran', 'Master Rajkrishna', 'Master Sreedhar', 'Nellikkode Bhaskaran', 'Vidhubala']"
S Konnannattu,K Raghavan,Grihalakshmi Productions,,U Rajagopal,,SA Nair,KT Muhammad,Hariharan,,MS Mani,Mankombu Gopalakrishnan,,Sujatha (1977),,Ravindra Jain,,PV Gangadharan,Hariharan,,"KJ Yesudas, Asha Bhosle, Hemalatha (Hindi)",,1977-08-19,KT Muhammad,"['Jayabharathi', 'Prem Nazir']"
,,Mary Matha Pictures,,PN Sundaram,,,Abhayadev,K Thankappan,,MN Sankar,Sreekumaran Thampi,,Velaankanni Maathaavu (1977),,G Devarajan,,K Thankappan,K Thankappan,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri",,1977-05-27,,"['Srividya', 'KR Vijaya', 'Padmini', 'Gemini Ganesan']"
,,Shanmukham Arts,,,,,Sreekumaran Thampi,AB Raj,,,Sreekumaran Thampi,,Bhaaryaavijayam (1977),,MK Arjunan,,Sadanandan,Sreekumaran Thampi,,"P Susheela, P Jayachandran, Vani Jairam, Ambili, KP Brahmanandan",,In progress,Gopu,"['Jayabharathi', 'Vincent']"
S Konnannattu,,Kanthi Harsha,,Madhu Ambatt,,,Kanam EJ,P Gopikumar,,K Sankunni,"Kanam EJ, KH Khan Sahib",,Harshabaashpam (1977),,MK Arjunan,,KH Khan Sahib,Kanam EJ,,"KJ Yesudas, Jency",,In progress,Kanam EJ,"['MG Soman', 'Vidhubala']"
,,Chithranjali,,K Ramachandrababu,,SA Nair,Thoppil Bhasi,KS Sethumadhavan,Central Pictures Release,,Mankombu Gopalakrishnan,,Amme Anupame (1977),,MS Viswanathan,,KSR Moorthy,Thoppil Bhasi,,"KJ Yesudas, P Susheela, Vani Jairam, MS Viswanathan",,In progress,Thoppil Bhasi,"['KP Ummer', 'Sharada', 'Vidhubala']"
,,Cherupushpam Films,,C Ramachandra Menon,,Kurian Varnasala,Alleppey Sherif,IV Sasi,Cherupushpam Films,K.Narayanan,Yusufali Kecheri,,Aa Nimisham (1977),,G Devarajan,,KJ Joseph,Alleppey Sherif,,"KJ Yesudas, P Jayachandran, P Madhuri, Shakeela Balakrishnan",,In progress,Alleppey Sherif,"['Sridevi', 'Sheela', 'Madhu']"
