,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,1950-04-13,T Janaki Ram,Swami Narayanan,Kailas Pictures,NP Chellappan Nair,NP Chellappan Nair,B Doraraj,sasidharan,1950,[],"['SP Pillai', 'Kaviyoor CK Revamma', 'KK Padmanabhankutty Asan', 'Ambalappuzha Krishnamoorthy', 'Vaikkom Mani', 'R Kumaran Bhagavathar', 'Miss Omana (NJ Mary)', 'Aranmula Ponnamma', 'Kottarakkara Sreedharan Nair', 'PK Kamalakshi', 'Kannara K Kunjkrishnan', 'Miss Kumari', 'E Kuttiyamma Bhagavathar', 'Nagavally RS Kurup', 'Pothan P Puthumana', 'TR Omana', 'PK Vikraman Nair']",,NP Chellappan Nair,Thumbaman Padmanabhan Kutty,Kalinga Rao,"Chorus, Kalinga Rao, Kaviyoor CK Revamma, Mohanakumari, Vaikkom Mani",,,,,,,,,,,
1,1950-02-15,T Janaki Ram,Swami Narayanan,Kailas Pictures,NP Chellappan Nair,NP Chellappan Nair,,chechi,1950,[],"['Vaikkom Raju', 'SP Pillai', 'SA Fareed', 'Miss Omana (NJ Mary)', 'Kottarakkara Sreedharan Nair', 'Cherthala Vasudeva Kurup', 'Aranmula Ponnamma', 'Miss Kumari', 'TR Omana']",PG Mohan,NP Chellappan Nair,"Abhayadev, Traditional",GK Venkitesh,"GK Venkitesh, Kalinga Rao, Kaviyoor CK Revamma, Mohanakumari, TA Lakshmi, VN Rajan",,,,,,,,,,,
1,1951-03-15,K Vembu,"M Kunchacko, KV Koshy",K&K Productions,Muthukulam Raghavan Pilla,Muthukulam Raghavan Pilla,PB Mani,jeevithanouka,1951,"['Thikkurissi Sukumaran Nair', 'BS Saroja']","['SP Pillai', 'Guru Gopinath', 'Mathappan', 'Pankajavalli', 'Nanukkuttan', 'Sebastian Kunjukunju Bhagavathar', 'Ambalappuzha Ravunni', 'P Adimoolam', 'Soman Pillai', 'PK Kamalakshi', 'Jagadamma', 'Chengannur Janaki', 'Baby Girija', 'Mulavana Joseph']",KD George,Muthukulam Raghavan Pilla,"Abhayadev, Vallathol",V Dakshinamoorthy,"V Dakshinamoorthy, P Leela, Alappuzha Pushpam, Ghantasala, Kaviyoor CK Revamma, Mehboob, Sebastian Kunjukunju Bhagavathar, T Lokanathan, TK Balachandran",,,,,,,,,,,
1,1951-05-18,MR Vittal,NK Karunakaran Pillai,Jayabharath Pictures,K Chellappan Pillai,K Chellappan Pillai,Shanmugham,rakthabandham,1951,"['Ambalappuzha Meenakshi', 'Cherthala Vasudeva Kurup', 'Miss Omana (NJ Mary)']","['Thumbaman Padmanabhan Kutty', 'Pisharody', 'Vaikkom Raju', 'Bhaskara Menon', 'SA Fareed', 'ML Saraswathi', 'RS Prabhu', 'SJ Dev', 'Kalaikkal Kumaran', 'SD Subbayya', 'KS Kuttappan Bhagavathar', 'KB Sundaram', 'KC Narayanan', 'TR Omana', 'Kunjan Bhagavathar', 'Rajamma', 'VS Padmini']",TM Lal,K Chellappan Pillai,"Abhayadev, Thumbaman Padmanabhan Kutty","SM Subbaiah Naidu, SN Chaami (SN Ranganathan)","P Leela, Kaviyoor CK Revamma, Vaikkom Mani, Kuttappan Bhagavathar",,,,,,,,,,,
1,1951-12-09,R Velappan Nair,KS Akhileswarayyar,Kairali Productions,PS Nair,PS Nair,R Velappan Nair,yaachakan,1951,[],"['SP Pillai', 'Ambalappuzha Krishnamoorthy', 'SV Susheela', 'SJ Dev', 'Achamma', 'Aranmula Ponnamma', 'Kottarakkara Sreedharan Nair', 'Pallam Joseph', 'Ambalappuzha Meenakshi', 'Thiruvananthapuram Kuttan Pillai', 'Thankam', 'Miss Kumari', 'Muthukulam Raghavan Pilla', 'Lakshmikkutti', 'Rajamma', 'MP Manmadhan']",KD George,"Abhayadev, PS Nair","Abhayadev, Bodheswaran, G Sankara Kurup",SN Chaami (SN Ranganathan),"Kaviyoor CK Revamma, T Lokanathan, VN Rajan",,,A Balu,,,,,,,,
1,1951-05-17,V Krishnan,Vaikkom Vasudevan Nair,Star Combines,VK Kumar,N Shankarapillai,,kerala kesari,1951,['Durga Varma'],"['PS Parvathy', 'Thankam Vasudevan Nair', 'KK Aroor', 'Kalaikkal Kumaran', 'Paravoor Bharathan']",,"KN Gopalan Nair, N Shankarapillai",Thumbaman Padmanabhan Kutty,Jnanamani,"P Leela, Kaviyoor CK Revamma, Mothi, Thankam Vasudevan Nair, Vaikkom Vasudevan Nair",,,,Geo Release,,,,,,,
1,1951-03-29,V Krishnan,Pappachan,Popular Productions,Ponkunnam Varkey,Ponkunnam Varkey,PK Madhavan Nair,navalokam,1951,[],"['Sethulakshmi (Old)', 'Sebastian Kunjukunju Bhagavathar', 'Thikkurissi Sukumaran Nair', 'TS Muthaiah', 'Miss Kumari', 'Muthukulam Raghavan Pilla', 'Vanchiyoor Madhavan Nair']",KD George,Ponkunnam Varkey,P Bhaskaran,V Dakshinamoorthy,"V Dakshinamoorthy, P Leela, Alappuzha Pushpam, Kaviyoor CK Revamma, Kozhikode Abdul Khader",,,,,,,,,,,
1,1951-09-06,G Viswanath,V&C Productions,,G Viswanath,G Viswanath,Arumukham,vanamaala,1951,"['PA Thomas', 'Neyyaattinkara Komalam']","['SP Pillai', 'Kandiyoor Parameshwaran Pillai', 'Karthikeyan Nair', 'Raju', 'Sumathikkutty Amma', 'Baby Lakshmi', 'Ambalappuzha Krishnamoorthy', 'Ammini', 'Muthukulam Raghavan Pilla', 'Kanchana (Old)', 'Kamala Bhargavan']",,Munshi Paramupillai,P Kunjikrishna Menon,PS Divakar,"Jikki (PG Krishnaveni), Mehboob",,,,"Central Pictures Release, Kottayam",,,,,,,
1,Unreleased,P Bhaskaran,,,,,,pullimaan,1952,[],[],,,P Bhaskaran,"MS Baburaj, K Raghavan",Kozhikode Abdul Khader,,,,,,,,,,,
1,Unreleased,P Bhaskaran,,,,,,kathirkaanaakkili,1951,[],[],,,P Bhaskaran,K Raghavan,,,,,,,,,,,,
