,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,Released,Sasikumar,Josey,Josey Creation,R Syama,SL Puram Sadanandan,Vipin Das,akalangalil,1986,[],"['Nedumudi Venu', 'Thilakan', 'Mala Aravindan', 'Anand Varghese', 'Sukumari']",G Venkittaraman,SL Puram Sadanandan,K Jayakumar,Johnson,"Unni Menon, JM Raju, Lathika",,,,,,,,,,,
1,Released,KS Gopalakrishnan,,Silver Screen,Kallayam Krishnadas,Kallayam Krishnadas,KS Mani,pidikittaappulli,1986,"['Ratheesh', 'Sathisree']","['VD Rajappan', 'Prameela', 'Lalithasree', 'Balan K Nair', 'Poojappura Ravi', 'Bheeman Raghu', 'Vincent']",A Sukumaran,Kallayam Krishnadas,Bharanikkavu Sivakumar,KJ Joy,"KS Chithra, Vani Jairam, Krishnachandran, Madhubhaskar",,,,,,,,,,,
1,1986-03-21,P Padmarajan,Thankachan,Vishudhi Productions,Sudhakar Mangalodayam,P Padmarajan,Venu,kariyilakkaattu pole,1986,"['Rahman', 'Mohanlal', 'Karthika', 'Mammootty']","['Unnimary', 'Krishnankutty Nair', 'Prem Prakash', 'Jalaja', 'Sreepriya', 'Kothuku Nanappan', 'Valsala Menon', 'Aliyar']",B Lenin,P Padmarajan,,,,,Sisirathil Oru Prabhatham,GO Sundaram,Jubilee Pictures Release,PN Mani,Johnson,Velayudhan Keezhillam,,,,"Gayathri Ashokan, Roy P Thomas"
1,Released,Priyadarshan,"Priyadarshan, Anand Kumar",Thrupti Arts,Priyadarshan,Sreenivasan,S Kumar,hello my dear wrong number,1986,"['Mohanlal', 'Lissy Lakshmi']","['Maniyanpilla Raju', 'Bob Christo', 'Shivaji', 'Sreenath', 'Captain Raju', 'James', 'Sankaradi', 'Jagannadha Varma', 'Jagathy Sreekumar', 'CI Paul', 'Zeenath', 'Mukesh', 'Ragini (New)', 'Sukumari', 'Menaka Sureshkumar']",N Gopalakrishnan,Sreenivasan,S Ramesan Nair,Raghu Kumar,"KJ Yesudas, KS Chithra, MG Sreekumar",,,K Krishnankutty,Gandhimathi Release,,KJ Joy,,,,,Radhakrishnan (RK)
1,Released,PA Bakker,Kollam Jaffer,Navabharath Chithralaya,Dr Pavithran,Dr Pavithran,Hemachandran,sree narayanaguru,1986,[],"['Kanakalatha', 'Master Vaisakh', 'Sree Kumar', 'Joseph Chacko']",Ravi,Vaikkom Chandrasekharan Nair,"S Ramesan Nair, Kollam Jaffer, Kumaranasan, Sreenarayana Guru",G Devarajan,"G Devarajan, P Jayachandran, P Madhuri, M Balamuralikrishna, Dr. P Dilip Kumar",,,Pradeep Chokli,,,,,,,,
1,1986-06-20,Rajasenan,P Jayaraman,Sree Balaji Combines,Rajasenan,Rajasenan,V Karunakaran,onnu randu moonnu,1986,[],"['Meena (Old)', 'Captain Raju', 'Kuthiravattam Pappu', 'Ramyasree', 'Unnimary', 'Babitha Justin', 'Karamana Janardanan Nair', 'Ratheesh', 'Johny', 'P Ramu', 'Kaduvakulam Antony', 'TG Ravi', 'Urvasi', 'Bobby Kottarakkara', 'Valsala Menon', 'Sindhu (Old)', 'Chithra']",G Murali,Joseph Vattoli,Poovachal Khader,Rajasenan,"KJ Yesudas, KS Chithra",,,,Josis Release,,,,,,,PN Menon
1,1986-03-01,Sathyan Anthikkad,GS Harindran,Harisree Productions,"Lal, Siddique","Lal, Siddique",Anandakkuttan,pappan priyappetta pappan,1986,"['Mohanlal', 'Rahman']","['Nedumudi Venu', 'Meena (Old)', 'Jose', 'Unnimary', 'Sankaradi', 'Thilakan', 'Lissy Lakshmi', 'Rajan P Dev', 'Jose Prakash', 'Priya (New)', 'Bahadoor', 'Innocent', 'Mala Aravindan', 'Kunchan', 'Alummoodan', 'Harishree Ashokan', 'Sainudeen', 'NF Varghese']",MN Appu,"Lal, Siddique","RK Damodaran, Sathyan Anthikkad",Alleppey Ranganath,"P Jayachandran, Balagopalan Thampi, Jency, Sindhu Devi",,,K Krishnankutty,Dinny Films Release,,Rajamani,,,,,Gayathri Ashokan
1,Released,G Aravindan,,Sooryakanthi Films,CV Sreeraman,G Aravindan,Shaji N Karun,chidambaram,1986,"['Smita Patil', 'Sreenivasan', 'Bharath Gopi']","['Nedumudi Venu', 'Dr Mohandas', 'James', 'Murali', 'Innocent', 'M Chandran Nair']",KR Bose,G Aravindan,Traditional,G Devarajan,"P Madhuri, Seerkazhi Shivachidambaram",,,Namboothiri,Samraj films,,,,,,,Gayathri Ashokan
1,Released,IV Sasi,Joseph Abraham,Prakkattu Films,John Paul,John Paul,Vasanth Kumar,koodanayum kaattu,1986,"['Rahman', 'Seetha']","['Kaviyoor Ponnamma', 'Jagannadha Varma', 'Sankaradi', 'Renuka (Prashanthi)', 'Mukesh', 'Innocent', 'Rohini', 'Seema', 'Valsala Menon', 'Sukumari', 'TP Madhavan']",K Narayanan,John Paul,Bichu Thirumala,Shyam,"KJ Yesudas, KS Chithra",,,IV Satheesh Babu,,,,,,,,PN Menon
1,Released,Sasikumar,PKR Pillai,Shirdi Sai Creations,,,NA Thara,shobhraj,1986,['Mohanlal'],"['Sathar', 'Jose', 'Jagannadha Varma', 'CI Paul', 'Priya (New)', 'TG Ravi', 'Madhavi', 'KP Ummer', 'Chithra']",G Venkittaraman,Vijayan,Cheramangalam,L Vaidyanathan,"KJ Yesudas, S Janaki, P Jayachandran, Vani Jairam",,,E Sreenivasa Rao,Shirdhisai Release,,Gemini,,,,,
1,Released,K Madhu,Jagan Appachan,Jagan Pictures,AR Mukesh,Kaloor Dennis,Anandakkuttan,malarum kiliyum,1986,[],"['Sudha Chandran', 'MG Soman', 'Mammootty', 'Ambika ', 'Sukumari', 'Menaka Sureshkumar', 'Lalu Alex']",VP Krishnan,Kaloor Dennis,K Jayakumar,Shyam,"KJ Yesudas, KS Chithra, Vani Jairam, Krishnachandran",,,,,,,,,,,
1,Released,KS Gopalakrishnan,,Vinod Arts,Jagathy NK Achari,Jagathy NK Achari,,karinaagam,1986,[],"['Rani Padmini', 'Kuthiravattam Pappu', 'Ratheesh', 'Anuradha', 'Balan K Nair', 'TG Ravi', 'Bheeman Raghu']",A Sukumaran,Jagathy NK Achari,Poovachal Khader,AT Ummer,"KJ Yesudas, KS Chithra, Krishnachandran",,,,,,,,,,,
1,Released,Baby,KG Mohan,Trident Arts,Vijayan,Pappanamkodu Lakshmanan,Somendu Roy,bhagavaan,1986,[],"['Madhuri', 'Sreenath', 'Premji', 'Beena Antony', 'P Ramu', 'Saleema', 'Meena Ganesh', 'Shanawas', 'Menaka Sureshkumar']",G Murali,Pappanamkodu Lakshmanan,Poovachal Khader,MS Viswanathan,"S Janaki, Vani Jairam, Krishnachandran, T Unnikrishnan",,,,,,,,,,,
1,Released,P Padmarajan,,Burton Movies,P Padmarajan,P Padmarajan,Venu,deshadanakkili karayaarilla,1986,"['Mohanlal', 'Urvasi', 'Karthika', 'Shari']","['PA Latheef', 'Rajam K Nair', 'Mudavanmugal Krishnankutty', 'Poojappura Radhakrishnan', 'Vembayam Thampi', 'Jalaja', 'Jagathy NK Achari', 'KR Savithri']",B Lenin,P Padmarajan,ONV Kurup,Raveendran,"KJ Yesudas, KS Chithra",,,GO Sundaram,Dinny Films Release,,,,,,,Roy P Thomas
1,Released,Madhu,Madhu,Sapthasagara Movies,,,,udayam padinjaaru,1986,"['Srividya', 'Madhu']","['Ratheesh', 'Praveena (Old)', 'Shobhana', 'Prem Nazir', 'Bharath Gopi', 'Prem Anand']",MV Natarajan,,"Kavalam Narayana Panicker, Puthusseri Ramachandran","AT Ummer, Jerry Amaldev","KJ Yesudas, KS Chithra",,,,,,AT Ummer,,,,,
1,Released,Priyadarshan,"Sanal Kumar, G Suresh Kumar",Sooryodaya Creations,Priyadarshan,Priyadarshan,S Kumar,raakkuyilin raagasadassil,1986,"['Mammootty', 'Suhasini']","['Jagathy Sreekumar', 'Lissy Lakshmi', 'Anu Anand', 'Adoor Bhasi', 'Sukumari', 'Ganesh Kumar']",N Gopalakrishnan,Priyadarshan,S Ramesan Nair,MG Radhakrishnan,"KJ Yesudas, MG Sreekumar, Arundhathi",,,K Krishnankutty,Samraj films,,Vijay,,,,,
1,Released,Priyadarshan,Anand,Anand Movie Arts,Priyadarshan,VR Gopalakrishnan,S Kumar,dheem tharikidathom,1986,"['Maniyanpilla Raju', 'Lissy Lakshmi']","['Nedumudi Venu', 'Kamala Kamesh', 'Jagathy Sreekumar', 'Sreenivasan', 'Shanker', 'Valsala Menon', 'Menaka Sureshkumar']",N Gopalakrishnan,VR Gopalakrishnan,"S Ramesan Nair, Nedumudi Venu","MG Radhakrishnan, Nedumudi Venu","KJ Yesudas, MG Sreekumar, Nedumudi Venu, Arundhathi, Pradeep",,,K Krishnankutty,,,Johnson,,,,,Radhakrishnan (RK)
1,Unreleased,,,,,,,kaaryam kaanaanoru kallachiri,1986,[],[],,,Panthalam Sudhakaran,AT Ummer,"KJ Yesudas, KS Chithra, KP Brahmanandan",,,,,,,,,,,
1,Released,Girish,,Sareena Movies,Salim Cherthala,Salim Cherthala,PN Dhananjayan,katturumbinum kaathukuthu,1986,[],"['Maniyanpilla Raju', 'Nedumudi Venu', 'Surekha', 'KPAC Lalitha', 'Jose', 'Jagathy Sreekumar', 'Thodupuzha Vasanthy', 'Lalithasree', 'Mukesh', 'Innocent', 'Mala Aravindan', 'KPAC Azeez']",EM Madhavan,Salim Cherthala,Panthalam Sudhakaran,Kannur Rajan,"KJ Yesudas, KS Chithra",,,,Evershine Release,,,,,,,Sabu M
1,Released,N Sankaran Nair,S Kumar,Sastha Krupa,Sastha,Salim Cherthala,PN Dhananjayan,caberet dancer,1986,"['Anuradha', 'MG Soman']","['Sathar', 'Santhosh', 'Lalithasree', 'Balan K Nair', 'Janardanan', 'Babitha']",N Gopalakrishnan,Salim Cherthala,P Bhaskaran,Shyam,,,,Babu,A Kumaraswamy Release,,,,,,,SA Nair
1,Released,Antony Eastman,Hameed,Simna Movies,Antony Eastman,John Paul,Vipin Mohan,ice cream,1986,"['Jayarekha', 'Mammootty', 'Lissy Lakshmi']","['Ashokan', 'Surekha', 'KPAC Lalitha', 'Sankaradi', 'Thilakan', 'Philomina', 'Karamana Janardanan Nair', 'Innocent', 'Mala Aravindan', 'Valsala Menon', 'Bharath Gopi', 'TP Madhavan']",G Murali,John Paul,Poovachal Khader,Johnson,"KS Chithra, Sharreth, Cochin Ibrahim, Lathika",,,,Simna Movies,,,,,,,Kitho
1,Released,KS Sethumadhavan,,Chaithra,,KS Sethumadhavan,J Williams,sunil vayassu 20,1986,[],"['Nedumudi Venu', 'Rahman', 'Venu Nagavally', 'MG Soman', 'Innocent', 'Urvasi', 'Valsala Menon', 'KPAC Sunny', 'TP Madhavan']",N Gopalakrishnan,Kamal,P Bhaskaran,Jerry Amaldev,"KJ Yesudas, KS Chithra, Balagopalan Thampi, Vincent Gomes",,,CK Suresh,Angel Release,,,,,,,Kitho
1,Released,Priyadarshan,GP Vijayakumar,Seven Arts International LTD,"Nedumudi Venu, Priyadarshan",Priyadarshan,S Kumar,thaalavattam,1986,"['Mohanlal', 'Karthika']","['Maniyanpilla Raju', 'Nedumudi Venu', 'KPAC Lalitha', 'Sankaradi', 'Jagathy Sreekumar', 'Thikkurissi Sukumaran Nair', 'Lissy Lakshmi', 'MG Soman', 'Mukesh', 'Sukumari', 'KPAC Sunny', 'Cochin Haneefa']",N Gopalakrishnan,Priyadarshan,"Poovachal Khader, Panthalam Sudhakaran","Raghu Kumar, Rajamani","KJ Yesudas, KS Chithra, MG Sreekumar",,,,,,Johnson,,,,,
1,Unreleased,Vijayakrishnan,,Pottakkanayam Films,Vijayakrishnan,Vijayakrishnan,Santhosh Sivan,nidhiyude kadha,1986,"['Murali', 'Jalaja', 'Sadu']",[],Rajasekharan,Vijayakrishnan,,,,,,J Sasikumar,,,MG Radhakrishnan,,,,,
1,Released,TS Suresh Babu,M Mani,Sunitha Productions,Jagadish,Sreenivasan,CE Babu,ponnumkudathinum pottu,1986,"['Nedumudi Venu', 'Menaka Sureshkumar', 'Shanker']","['Maniyanpilla Raju', 'Beena Kumbalangi', 'Jagathy Sreekumar', 'Thilakan', 'Mukesh', 'Rohini', 'Mala Aravindan']",VP Krishnan,Sreenivasan,Chunakkara Ramankutty,Shyam,"KJ Yesudas, Arundhathi",,,,,,,,,,,
1,Released,Sasikumar,"Prem Prakash, NJ Siriaca, Thomas Kora",Prekshaka,Prekshaka,SL Puram Sadanandan,CE Babu,kunjaattakkilikal,1986,"['Mohanlal', 'Shobhana']","['VD Rajappan', 'Meena (Old)', 'Thilakan', 'MG Soman', 'Mala Aravindan', 'Alummoodan', 'Sukumari']",G Venkittaraman,SL Puram Sadanandan,K Jayakumar,AJ Joseph,"KJ Yesudas, KS Chithra, S Janaki, Valsa",,,,Century Release,,Johnson,,,,,Gayathri Ashokan
1,Unreleased,,,,,,,ennum maarodanaykkan,1986,[],[],,,Bichu Thirumala,Jerry Amaldev,"KJ Yesudas, VS Kala",,,,,,,,,,,
1,1986-04-25,Sajan,,Sunitha Productions,MD Ratnamma,Kaloor Dennis,Selvam,naale njangalude vivaaham,1986,"['Ahalya', 'Jalaja', 'Menaka Sureshkumar', 'Shanker', 'Mukesh', 'Shafeeq']","['VD Rajappan', 'Kollam Ajith', 'Baiju', 'Lalithasree', 'Innocent', 'Mala Aravindan', 'Poojappura Ravi', 'Valsala Menon', 'Sukumari', 'Tony', 'Prathapachandran']",VP Krishnan,Kaloor Dennis,Chunakkara Ramankutty,Shyam,"KJ Yesudas, KS Chithra",,,Balachandran,Aroma Release,,,,,,,Balachandran
1,Released,Alleppey Ashraf,,Raj Productions,,,J Williams,viswasichaalum illenkilum,1986,['Lissy Lakshmi'],"['Kaviyoor Ponnamma', 'Ratheesh', 'Baby Lakshmi', 'Shanker', 'Menaka Sureshkumar']",,,TK Layan,TK Layan,S Janaki,,,,,,Kannur Rajan,,,,,
1,1986-12-19,Sajan,PT Xavier,Vijaya Productions,"Dinesh, Murali",SN Swamy,K Ramachandrababu,ennu naadhante nimmi,1986,"['Mammootty', 'Radhu', 'Rahman']","['Mamukkoya', 'Baiju', 'Kaviyoor Ponnamma', 'KJ Yesudas', 'Thilakan', 'Lissy Lakshmi', 'Mukesh', 'Kunchan', 'Mala Aravindan', 'NL Balakrishnan', 'Sukumari']",VP Krishnan,SN Swamy,"Chunakkara Ramankutty, Kaladharan (Kala Adoor)",Shyam,"KJ Yesudas, KS Chithra, Unni Menon, Krishnachandran",,,,,,,,,,,
1,1986-11-04,Hariharan,Gayathri & Parvathy,Gayathri Cinema,MT Vasudevan Nair,MT Vasudevan Nair,Shaji N Karun,nakhakshathangal,1986,"['Monisha', 'Saleema', 'Vineeth']","['Kuthiravattam Pappu', 'Kaviyoor Ponnamma', 'Jagannadha Varma', 'Thilakan', 'RK Nair', 'Bahadoor', 'P Jayachandran']",MS Mani,MT Vasudevan Nair,ONV Kurup,Bombay Ravi,"KJ Yesudas, KS Chithra, P Jayachandran",,,S Konnannattu,,,,,,,,PN Menon
1,Released,Sasikumar,Royal Achankunju,Royal Movies,Sasikumar,SL Puram Sadanandan,Vipin Das,manasiloru manimuthu,1986,[],"['Meena (Old)', 'Mohanlal', 'Kaviyoor Ponnamma', 'Suresh Gopi', 'Sankaradi', 'Devi', 'Jagathy Sreekumar', 'Thikkurissi Sukumaran Nair', 'Baby Adheena', 'Babitha', 'Urvasi', 'Raji', 'Vijayaraghavan', 'KP Ummer', 'Mythili (old)']",G Venkittaraman,SL Puram Sadanandan,K Jayakumar,Shyam,"KS Chithra, P Jayachandran, Ambili, Jolly Abraham",,,Moni Karappuzha,Royal Release,,Johnson,,,,,Sax
1,Released,A Vincent,Sobhana Parameswaran Nair,Roopavani Films,MT Vasudevan Nair,MT Vasudevan Nair,P Bhaskara Rao,kochuthemmaadi,1986,"['Mammootty', 'Sunanda']","['Hanifa', 'Premji', 'Balachandran', 'Bhaskara Kurup', 'Rajeev Menon', 'Kozhikode Narayanan Nair', 'Jagathy Sreekumar', 'Prathima', 'Santhakumari', 'Thodupuzha Vasanthy', 'Irfan', 'VT Aravindakshamenon', 'Adoor Bhasi', 'Bahadoor', 'Kunjandi', 'Sherin', 'Sreenivasan', 'Jalaja']",VP Krishnan,MT Vasudevan Nair,P Bhaskaran,G Devarajan,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri, KP Brahmanandan, Gopan, Latha Raju, Sherin Peters",,,,,,,,,,,
1,Released,Sajan,M Mani,Sunitha Productions,Jagadish,Jagadish,CE Babu,love story,1986,"['Rohini', 'Shafeeq']","['VD Rajappan', 'Nedumudi Venu', 'Sabitha Anand', 'Sankaradi', 'Thilakan', 'Noohu', 'Adoor Bhavani', 'Innocent', 'Mala Aravindan', 'KPAC Azeez', 'Sukumari', 'Lalu Alex']",VP Krishnan,Jagadish,Chunakkara Ramankutty,Shyam,"KJ Yesudas, KS Chithra",,,Sreeni,Aroma Release,,,,,,,Balachandran
1,Released,Shakthi-Kannan,Sajan,Saj Productions,,Shakthi-Kannan,Ashok Kumar,ariyaatha bandham,1986,"['Amala', 'Rahman', 'Sujatha ']","['Jayashankar', 'Senthil', 'Master Twinku', 'Kovai Sarala']",VT Vijayan,Shakthi-Kannan,"Poovachal Khader, Bharathiyar",MS Viswanathan,"KJ Yesudas, KS Chithra, S Janaki, P Susheela, P Jayachandran, Vani Jairam, LR Eeswari, SP Balasubrahmanyam, Malaysia Vasudevan, Vani Jayaram",,,,,,,,,,,
1,Released,Joshiy,Joy Thomas,Jubilee Productions,Chalil Jacob,Dennis Joseph,Jayanan Vincent,nyaayavidhi,1986,"['Mammootty', 'Shobhana']","['VD Rajappan', 'Sukumaran', 'Sulakshana', 'Mala Aravindan', 'Lalu Alex']",K Sankunni,Dennis Joseph,Shibu Chakravarthy,MK Arjunan,"KS Chithra, Unni Menon",,,,,,,,,,,
1,1986-07-02,Asha Khan,Swaraj,Sree Mookambika Entertains,Swaraj,Dr Pavithran,Melly Dayalan,ardha raathri,1986,"['Ratheesh', 'Madhuri']","['Nalinikanth', 'Captain Raju', 'Babitha Justin', 'Disco Santhi', 'Anuradha', 'Johny', 'TG Ravi', 'Bheeman Raghu']",G Murali,Dr Pavithran,Bharanikkavu Sivakumar,KJ Joy,"Vani Jairam, Anitha Reddy",,,,,,,,,,,
1,1986-07-03,Vijay Menon,,Poornakumbha Films,"Vijay Menon, M Muhammad, V Chakravarthy","Vijay Menon, V Chakravarthy",Madhu Ambatt,nilaavinte naattil,1986,"['Prem Nazir', 'Seema']","['Shayla Shankar', 'MG Soman', 'Johny', 'Bharath Gopi', 'Lalu Alex']","Ayyappan, Vijay Menon","Rajeev Vijayaraghavan, Vijay Menon",Kavalam Narayana Panicker,Shyam,S Janaki,,,Padmanabhan,,,,,,,,Padmanabhan
1,1986-10-04,Fazil,Sajan,Saj Productions,Madhu Muttom,Fazil,Vipin Das,ennennum kannettante,1986,"['Sonia G Nair', 'Sangeeth']","['Nedumudi Venu', 'Meena (Old)', 'Thilakan', 'Jagathy Sreekumar', 'Vishnuprakash', 'Jalaja', 'Srividya', 'Sukumari', 'KP Ummer', 'Appa Haja', 'Master Anoop']",TR Sekhar,Fazil,"Kaithapram, Madhu Muttom",Jerry Amaldev,"KJ Yesudas, KS Chithra, MG Radhakrishnan, Satheesh Babu, Sunanda, Padma Subramaniam",,,,,,,,,,,Gayathri Ashokan
1,1986-12-09,Balachandra Menon,Varada Balachandra Menon,V&V Productions,Balachandra Menon,Balachandra Menon,Jayanan Vincent,vivaahithare ithile,1986,[],"['Sreenath', 'Kottayam Santha', 'Kuthiravattam Pappu', 'KPAC Lalitha', 'Sankaradi', 'Manimala', 'Jagathy Sreekumar', 'Latha Thomas', 'Lalithasree', 'Master Prashobh', 'Vidhu Krishnan', 'Innocent', 'Yadu Krishnan', 'Parvathi Jayaram', 'Ragini (New)', 'Srividya', 'TP Madhavan']",Hariharaputhran KP,Balachandra Menon,Bichu Thirumala,Jerry Amaldev,"KJ Yesudas, KS Chithra, Sunanda",,,Kurian Sabarigiri,Safe Release,,SP Venkitesh,,,,,Shajiyem
1,Released,IV Sasi,,Classic Arts,MT Vasudevan Nair,MT Vasudevan Nair,Vasanth Kumar,abhayam thedi,1986,"['Shobhana', 'Mohanlal']","['Ashokan', 'Kuthiravattam Pappu', 'KPAC Lalitha', 'Jagannadha Varma', 'Thilakan', 'Santhakumari', 'Rohini', 'Janardanan', 'Y Vijaya', 'Anju (Baby Anju)', 'Sukumari', 'Ramachandran (New)', 'Raveendran']",K Narayanan,MT Vasudevan Nair,S Ramesan Nair,Shyam,"P Jayachandran, Unni Menon, Krishnachandran, Lathika",,,IV Satheesh Babu,Century Release,,,,,,,PN Menon
1,1986-11-14,PG Vishwambharan,KP Kottarakkara,Ganesh Productions,,Vijayan Karote,Manohar,aval kaathirunnu avanum,1986,"['Moonmoon Sen', 'Mammootty', 'Mukesh']","['Karamana Janardanan Nair', 'Lissy Lakshmi', 'Sairabhanu', 'Priya (New)', 'Mala Aravindan', 'Vanchiyoor Radha', 'Sukumari', 'KP Kumar', 'Sudheesh']",G Murali,Vijayan Karote,Poovachal Khader,Shyam,"KJ Yesudas, KS Chithra",,,,,,,,,,,PN Menon
1,Released,Krishnaswamy,,Gurudeva Pictures,Dr L Salim,Dr L Salim,Kannan Narayanan,swami shree narayana guru,1986,[],"['LP Athiyannoor', 'Master Sabu', 'Ravi Menon', 'Divyashree', 'Adoor Bhavani', 'Nisha Chowdhary', 'KPAC Azeez', 'KV Sivadasan', 'KPAC Sunny', 'Vanchiyoor Madhavan Nair']",A Ramesan,Dr L Salim,"Brahmasri Anandaji Gurudeva Thiruvadikal, Sreenarayana Guru, Vayalar Madhavankutty, Dr L Salim",Mohammed Subair,"KJ Yesudas, KP Brahmanandan, CS Radhika",,,Vijayan Mottamoodu,Sunshine,,Thaayamban,,,,,
1,Released,Priyadarshan,Sajan,Saj Productions,Priyadarshan,Priyadarshan,S Kumar,mazha peyyunnu maddalam kottunnu,1986,"['Mukesh', 'Priya (New)', 'Sreenivasan', 'Lissy Lakshmi', 'Mohanlal']","['Maniyanpilla Raju', 'Jagadish', 'Kuthiravattam Pappu', 'Jagathy Sreekumar', 'CI Paul', 'Lalithasree', 'Bahadoor', 'Mammootty', 'Poojappura Ravi', 'Kothuku Nanappan', 'Sukumari', 'Cochin Haneefa']",N Gopalakrishnan,Priyadarshan,Panthalam Sudhakaran,KJ Joy,"KS Chithra, MG Sreekumar, P Jayachandran, Lathika",,,K Krishnankutty,,,,,,,,
1,1986-08-15,Raghunath Paleri,Appachan (Navodaya),Navodaya,Raghunath Paleri,Raghunath Paleri,Shaji N Karun,onnu muthal poojyam vare,1986,"['Mohanlal', 'Asha Jayaram', 'Geethu Mohandas']","['Nedumudi Venu', 'Suresh Gopi', 'Mary Francis Kaeethidam', 'Mukesh', 'Shari', 'Prathap Pothen', 'Kalabhavan Rahman', 'Sainudeen', 'Sukumari']",TR Sekhar,Raghunath Paleri,ONV Kurup,Mohan Sithara,"KS Chithra, G Venugopal",,Aakaashathekkoru Kilivaathil,K Sekhar,,,Guna Singh,,,,,Gayathri Ashokan
1,1986-01-23,Joshiy,Joy Thomas,Jubilee Productions,Dennis Joseph,Dennis Joseph,Jayanan Vincent,shyama,1986,"['Mammootty', 'Sumalatha', 'Nadiya Moithu', 'Mukesh']","['Meena (Old)', 'PK Abraham', 'Ravi Menon', 'Lalithasree', 'Rajan P Dev', 'Mala Aravindan', 'KPAC Azeez', 'KP Ummer', 'Lalu Alex']",K Sankunni,Dennis Joseph,"Poovachal Khader, Shibu Chakravarthy",Raghu Kumar,"KS Chithra, P Jayachandran, Unni Menon",,,Hari,Jubilee Pictures Release,,SP Venkitesh,,,,"Kodaikanal, Ernakulam",Gayathri Ashokan
1,Released,Joshiy,Thiruppathi Chettiyar,Evershine,Dennis Joseph,Dennis Joseph,Vipin Das,saayamsandhya,1986,"['Monisha', 'Geetha', 'Suresh Gopi', 'Mammootty']","['TK Balachandran', 'Ashokan', 'Baiju', 'Joseph EA', 'MG Soman', 'Paravoor Bharathan', 'KPAC Azeez', 'Srividya', 'KP Ummer', 'Viji']",K Sankunni,Dennis Joseph,Shibu Chakravarthy,Shyam,"KJ Yesudas, KS Chithra",,,Hari,Evershine Release,Mani,,,,,,Gayathri Ashokan
1,Released,KG Vijayakumar,,Yuvaraja Productions,Veloor Krishnankutty,Veloor Krishnankutty,VC Sasi,ambili ammaavan,1986,[],"['Nedumudi Venu', 'Jagathy Sreekumar', 'Santhakumari', 'Kalaranjini', 'Guiness Pakru (Ajayakumar)', 'Vinayan', 'Baby Ambili Jacob', 'Jubi George', 'Indumathi']",L Bhoominathan,Veloor Krishnankutty,,Kannur Rajan,,,,Raghuraj,,,,,,,,
1,1986-04-04,PN Menon,AN Vasudevan Namboothiri,Sooryasamudra Films,Kalpatta Balakrishnan,Kalpatta Balakrishnan,R Devi Prasad,malamukalile daivam,1986,"['Archana', 'Gabriel', 'Sudharani (Old)']","['PR Menon', 'Sathindran', 'Bala Singh', 'Kunjandi', 'Master Suresh', 'Rani Abraham', 'Lakshmi Subrahmanian', 'Ranjith Kumar']",Sasi,Kalpatta Balakrishnan,,,,,,,,,Johnson,,,,,
1,Released,Manoj Babu,,Rajath Productions,,,BR Ramakrishna,aarundivide chodikkaan,1986,['Bheeman Raghu'],[],K Narayanan,,Poovachal Khader,AT Ummer,KS Chithra,,,,,,,,,,,
1,1986-01-05,P Padmarajan,Hari Pothan,Supriya,P Padmarajan,P Padmarajan,Shaji N Karun,arappatta kettiya graamathil,1986,"['Ashokan', 'Nedumudi Venu', 'Mammootty']","['Unnimary', 'Thilakan', 'Philomina', 'Krishnankutty Nair', 'Jagathy Sreekumar', 'Rasheed', 'Kunjandi', 'Noohu', 'Soorya', 'Surasu', 'Poojappura Radhakrishnan', 'Achankunju', 'Gomathi', 'Kothuku Nanappan', 'Sukumari', 'Ramachandran (New)', 'Kanakalatha']",B Lenin,P Padmarajan,,,,,,Roy P Thomas,Kulathunkal Pictures Release,,Guna Singh,,,,,Shajiyem
1,Released,Sasikumar,,Bijis Films,AR Mukesh,Kaloor Dennis,NA Thara,ente entethumaathram,1986,"['Mohanlal', 'Karthika', 'Shalini (Baby Shalini)', 'Shalini (Baby Shalini)']","['James', 'Shobhana', 'Santhakumari', 'Lalithasree', 'Innocent', 'Mala Aravindan', 'Valsala Menon', 'Sukumari', 'Lalu Alex']",G Venkittaraman,Kaloor Dennis,RK Damodaran,Johnson,"MG Sreekumar, P Susheela, Lathika",,,,,,,,,,,Kitho
1,Released,KR Mohan,PT Kunju Muhammad,Mohan Muhammad Films,CV Sreeraman,KR Mohan,Madhu Ambatt,purushaartham,1986,"['Adoor Bhasi', 'Sujatha Mehta']","['Jain George', 'Kunjava', 'Madambu Kunjukuttan', 'Payyur Bhasi']",Venugopal,KR Mohan,,,,,,CN Karunakaran,,,MB Sreenivasan,,,,,
1,Unreleased,Lenin Rajendran,,,,,,jaalakathile pakshi,1986,[],[],,,ONV Kurup,Jerry Amaldev,"KJ Yesudas, Ashalatha, Satheesh Babu",,,,,,,,,,,
1,"Released, Other language dubbing",T Krishna,,Ushakiran Movies,,,,pakarathinu pakaram,1986,[],[],,,,,,,,,,,,,,,,
1,Unreleased,Rajasenan,,,,,,chila nimishangalil,1986,[],[],,,Poovachal Khader,Rajasenan,"KJ Yesudas, KS Chithra, Krishnachandran",,,,,,,,,,,
