year,movie_title,movie_actors
1965,Kaavyamela (1965),"Prem Nazeer ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,Murali Sr. ,Ramesh ,Nellikkodu Bhaskaran ,GK Pillai ,SP Pillai ,Sheela ,KJ Yesudas"
1965,Kalyaana Photo (1965),"Madhu ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,Kottarakkara Sreedharan Nair ,PA Thomas ,Kochappan ,Kamaladevi ,Philomina ,Nirmala ,Musthafa Valanchery"
1965,Shyaamala Chechi (1965),"Sathyan ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Bahadoor ,Adoor Bhasi ,Pappukutty Bhagavathar ,Premji ,TR Omana ,Sukumari ,Ambika Sukumaran ,Pariyanampatta"
1965,Thommante Makkal (1965),"Sathyan ,Madhu ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,KS Gopinath ,Ambika Sukumaran ,Adoor Pankajam ,Kaviyoor Ponnamma ,Baby Shobha ,Sheela ,Joseph Chacko"
1965,Odayil Ninnu (1965),"Sathyan ,Prem Nazeer ,SP Pillai ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Kalaikkal Kumaran ,Kottayam Chellappan ,Kaviyoor Ponnamma ,Adoor Pankajam ,Baby Padmini ,KR Vijaya ,Suresh Gopi ,Gopinathan Nair"
1965,Pattuthoovala (1965),"Madhu ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Nellikkodu Bhaskaran ,SP Pillai ,Pankajavalli ,KV Shanthi ,Sheela ,Laila (Old)"
1965,Kaattuthulasi (1965),"Sathyan ,Kottarakkara Sreedharan Nair ,Bahadoor ,Manavalan Joseph ,KS Gopinath ,Adoor Bhasi ,MS Namboothiri ,Sarada ,Ushakumari"
1965,Kaliyodam (1965),"Prem Nazeer ,Madhu ,Thikkurissi Sukumaran Nair ,Babu Joseph ,Ramachandran Nair ,SP Pillai ,KV Shanthi ,Pankajavalli ,Anandavalli ,Jayanthi ,Joseph Chacko ,Baby Vinodini"
1965,Muthalaali (1965),"TS Muthaiah ,Prem Nazeer ,Pappukutty Bhagavathar ,SP Pillai ,Panjabi ,Aranmula Ponnamma ,Sheela ,Adoor Pankajam ,Kottayam Shantha ,Jr Padmini"
1965,Jeevithayaathra (1965),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Bahadoor ,Adoor Bhasi ,Madhu ,Friend Ramaswamy ,SP Pillai ,Kottayam Chellappan ,Ambika Sukumaran ,Sukumari ,Shobha"
1966,Kadamattathachan (1966),"Thikkurissi Sukumaran Nair ,N Govindankutty ,Muthukulam Raghavan Pillai ,Chavara VP Nair ,SP Pillai ,GK Pillai ,Rajashree (Gracy) ,Priyamvada ,Sukumari ,TR Omana ,Pallam Joseph ,CI Jose ,Sishyadev ,G Gopinath ,Anujan Kurichi ,Gundumani ,Kottayi ,Pisharadi ,Thankappan ,Sasikala ,Swarnalatha ,Thankamani ,Bharathi (Old)"
1966,Archana (1966),"Madhu ,Muthukulam Raghavan Pillai ,Adoor Bhasi ,KP Ummer ,Hari ,Sarada ,Aranmula Ponnamma ,Kumudam"
1966,Anaarkali (1966),"Sathyan ,Prem Nazeer ,Kottarakkara Sreedharan Nair ,KJ Yesudas ,Manavalan Joseph ,Rajashree (Gracy) ,Philomina ,KR Vijaya ,Ambika Sukumaran ,LPR Varma ,Thikkurissi Sukumaran Nair ,Alummoodan ,SP Pillai ,Adoor Bhasi"
1966,Tharavaattamma (1966),"Sathyan ,Thikkurissi Sukumaran Nair ,KP Ummer ,PJ Antony ,Vasanthi ,Sheela ,BS Saroja ,Sukumari ,Adoor Bhasi"
1966,Priyathama (1966),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Vaikam Mani ,SP Pillai ,KV Shanthi ,Sheela ,Sridevi ,Aranmula Ponnamma"
1966,Puthri (1966),"Madhu ,Thikkurissi Sukumaran Nair ,SP Pillai ,Babu Joseph ,GK Pillai ,Jyothikumar ,KV Shanthi ,Sarasamma ,Aranmula Ponnamma ,Pankajavalli"
1966,Poochakkanni (1966),"Thikkurissi Sukumaran Nair ,Prem Nazeer ,Adoor Bhasi ,Bahadoor ,Ambika Sukumaran ,Vijayanirmala ,Meena ,Kalavathi"
1966,Kunjikkoonan (1966),Sathyan
1966,Maanikyakottaram (1966),"Madhu ,KP Ummer ,Bahadoor ,Nellikkodu Bhaskaran ,PK Sathyapal ,Kamalam ,Suprabha ,Sarada ,Jr Padmini ,Philomina"
1966,Kalyaanaraathriyil (1966),"Prem Nazeer ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Muthukulam Raghavan Pillai ,Adoor Bhasi ,Kaduvakkulam Antony ,Vijayanirmala ,Paravoor Bharathan ,Latha Raju ,Philomina ,N Saroja"
1966,Pakalkkinaavu (1966),"Sathyan ,Premji ,Nilamboor Balan ,MS Namboothiri ,Nellikkodu Bhaskaran ,Adoor Bhasi ,Kunjava ,Kaduvakkulam Antony ,Krishnankutty ,Balan Pallippattu ,Sarada ,Vasanthi ,Latha Raju ,Kokila ,Baby Sreelatha"
1966,Jail (1966),"Sathyan ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Manavalan Joseph ,KS Gopinath ,Sarada ,Rajashree (Gracy) ,Adoor Pankajam ,Joseph Chacko"
1966,Penmakkal (1966),"Prem Nazeer ,Kottarakkara Sreedharan Nair ,Manavalan Joseph ,Friend Ramaswamy ,Meena ,Jayabharathi ,Suseela ,Shobha ,TK Balachandran ,Kaduvakkulam Antony ,SP Pillai ,Punjabi ,Kunchan ,Sheela ,Ambika Sukumaran"
1966,Pinchuhridayam (1966),"TS Muthaiah ,Adoor Bhasi ,Master Prabha ,Prem Nazeer ,Muthukulam Raghavan Pillai ,Sankaradi ,Kaviyoor Ponnamma ,Ambika Sukumaran"
1966,Kalithozhan (1966),"Prem Nazeer ,TS Muthaiah ,TK Balachandran ,Adoor Bhasi ,Sheela ,Sukumari ,Philomina ,Prema Latha ,VS Shantha ,GK Pillai ,Bahadoor ,Sumathi"
1966,Mayor Nair (1966),"Thikkurissi Sukumaran Nair ,Kottarakkara Sreedharan Nair ,Ramesh ,Balu ,PA Thangal ,Kerala Gopi ,Adoor Bhasi ,Kalpana(New) ,Meena ,Shanthadevi ,Kamaladevi"
1966,Karuna (1966),"Thikkurissi Sukumaran Nair ,Madhu ,KP Ummer ,Adoor Bhasi ,Sankaradi ,TK Balachandran ,Devika ,Shobha ,Renuka ,Vijaya Rani"
1966,Thilothama (1966),"Sathyan ,Prem Nazeer ,Kottarakkara Sreedharan Nair ,Thikkurissi Sukumaran Nair ,Madhu ,Jijo ,Philomina ,KR Vijaya ,Sarada"
1966,Koottukaar (1966),"Sathyan ,Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Kottarakkara Sreedharan Nair ,Manavalan Joseph ,Ambika Sukumaran ,Sheela"
1966,Kanakachilanka (1966),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,TS Muthaiah ,TK Balachandran ,Kaduvakkulam Antony ,Sheela ,Pankajavalli ,Padmini ,Manavalan Joseph ,GK Pillai"
1966,Station Master (1966),"Sathyan ,Prem Nazeer ,Adoor Bhasi ,Prathapan ,Hari ,KP Ummer ,Kaduvakkulam Antony ,Ushakumari ,Kamaladevi ,TR Omana ,O Ramdas"
1966,Sthaanaarthi Saramma (1966),"Prem Nazeer ,Adoor Bhasi ,Prathapachandran ,Nellikkodu Bhaskaran ,Sankaradi ,GK Pillai ,Muthukulam Raghavan Pillai ,Kunjandi ,Panjabi ,Sheela ,Meena ,TR Omana ,Pankajavalli"
1966,Kanmanikal (1966),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Kottarakkara Sreedharan Nair ,Master Narayanan ,Adoor Bhasi ,Meena ,Kamala ,Baby Ajitha ,Sarada"
1966,Kaayamkulam Kochunni (1966),"Sathyan ,Thikkurissi Sukumaran Nair ,KP Ummer ,Adoor Bhasi ,Manavalan Joseph ,Kaduvakkulam Antony ,KJ Yesudas ,Kamaladevi ,Nalini Sr. ,TR Omana ,JAR Anand ,O Ramdas"
1966,Kallippennu (1966),"Sathyan ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,TR Omana ,KV Shanthi ,Ushakumari ,Nalini Sr. ,Adithyan ,Jolly ,Premakumari ,Parvathy (Old)"
1966,Kaattumallika (1966),"Anandan ,Natarajan ,Babu Joseph ,Paravoor Bharathan ,Vaikam Mani ,SP Pillai ,KV Shanthi ,Geethanjali ,Kalpana (Old) ,Ambalappuzha Rajamma"
1966,Kusrithikkuttan (1966),"Thikkurissi Sukumaran Nair ,Ambika Sukumaran ,Pankajavalli ,Sureshkumar ,Suresh Varma ,Adoor Bhasi ,Sukumari ,Punjabi ,BN Nambiar ,Muthukulam Raghavan Pillai"
1966,Rowdy (1966),"Sathyan ,Adoor Bhasi ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Pole ,Muthukulam Raghavan Pillai ,BK Pottakkad ,Sujatha ,Pankajavalli ,TR Omana ,Adoor Pankajam"
1967,Nagarame Nandi (1967),"Prem Nazeer ,Madhu ,Adoor Bhasi ,KP Ummer ,PJ Antony ,Ushanandini ,Jyothilakshmi ,Sukumari ,Shanthadevi ,Pariyanampatta"
1967,NGO (1967),"Sathyan ,Adoor Bhasi ,SP Pillai ,Ambika Sukumaran ,Ushakumari ,Kottayam Shantha ,Sukumari ,Prem Nazeer ,Kedamangalam Ali ,Kottayam Chellappan ,CR Lakshmi"
1967,Postman (1967),"Sathyan ,Thikkurissi Sukumaran Nair ,Hari ,O Ramdas ,KP Ummer ,Kaviyoor Ponnamma ,Kamaladevi ,TR Omana ,KV Shanthi ,Adoor Bhasi ,Sukumari ,Manavalan Joseph ,CR Lakshmi ,PS Parvathy"
1967,Kunjaali Marakkaar (1967),"Prem Nazeer ,PK Sathyapal ,Premji ,Kottarakkara Sreedharan Nair ,Kuthiravattam Pappu ,Kunjava ,Jyothilakshmi ,Shanthadevi ,Sukumari ,Saraswathi P K"
1967,Mainatharuvi Kolakkes (1967),"Sathyan ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,SP Pillai ,Manavalan Joseph ,N Govindankutty ,Alummoodan ,Nellikkodu Bhaskaran ,KPAC Sunny ,Kaduvakkulam Antony ,KS Gopinath ,Jijo ,Hari ,Sheela ,Pankajavalli ,Adoor Pankajam"
1967,Paathiraappaattu (1967),"Prem Nazeer ,KP Ummer ,Nellikkodu Bhaskaran ,GK Pillai ,Indira Thampi ,Sheela ,CR Lakshmi ,PS Parvathy ,Mala Aravindan"
1967,Anweshichu Kandethiyilla (1967),"Sathyan ,Madhu ,TS Muthaiah ,Thikkurissi Sukumaran Nair ,Bahadoor ,PA Latheef ,Panjabi ,Mavelikkara Ponnamma ,Shanthadevi ,Sukumari ,KR Vijaya ,Kottayam Shantha"
1967,Kudumbam (1967),"Sathyan ,Prem Nazeer ,Adoor Bhasi ,TS Muthaiah ,Sheela ,Pankajavalli ,Kuttan Pillai ,Ambika Sukumaran ,TR Omana"
1967,Thalirukal (1967),"Sathyan ,SP Pillai ,Nagesh ,MG Menon ,Kottayam Chellappan ,Paul Vengola ,Sunitha ,CR Lakshmi ,Chandni (Old) ,Ushakumari ,Mala Aravindan"
1967,Ramanan (1967),"Prem Nazeer ,Madhu ,Manavalan Joseph ,Adoor Bhasi ,Sankaradi ,Nellikkodu Bhaskaran ,Kottayam Chellappan ,Ramu Karyat ,Ushakumari ,Kaladevi ,Chithralekha ,Meena ,Sheela"
1967,Maadatharuvi (1967),"Thikkurissi Sukumaran Nair ,KP Ummer ,Adoor Bhasi ,CI Paul ,Muthukulam Raghavan Pillai ,Ushakumari ,Kamaladevi ,Sukumari ,KV Shanthi ,TR Omana ,Khadeeja ,Vahaaab Kashmiri ,Chidambaranth ,O Ramdas ,MG Menon ,Prathapachandran ,Zero Babu ,Santo Krishnan ,Stunt Bhaskaran ,Punaloor Alex ,Varghese Vadakar ,PA Krishnan ,CM Abraham ,Kathirpur ,Bharathan ,Changanasseri Mani ,Nandakumar ,Kollam Mani ,Eepan ,Kalavathi Saraswathi ,Master Joji ,Baby Santha ,Maater Shaji ,Baby Kanaka Sree ,Master Dinesh ,Suresh Babu ,Raghava Menon ,SN Puram ,Kunchan ,Muhammed Musthapha ,Varma ,Venkidesan ,Krishnan"
1967,Jeevikkaan Anuvadikkoo (1967),"Prem Nazeer ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Pattam Sadan ,Manavalan Joseph ,TK Balachandran ,Meena ,KV Shanthi ,PS Parvathy ,Ushakumari ,Vidhubala ,Nalini Sr. ,TR Omana ,"
1967,Mulkkireedam (1967),"PJ Antony ,Nellikkodu Bhaskaran ,Sankaradi ,N Govindankutty ,Adoor Bhasi ,SP Pillai ,MG Soman ,Mohanakrishnan ,Rajan ,Aravindan ,Ramachandran (Old) ,Sarada ,Indira Thampi ,TR Omana ,Shanthadevi ,Jessy ,Thulasi (Old)"
1967,Naadan Pennu (1967),"Sathyan ,Prem Nazeer ,Sheela ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,N Govindankutty ,TS Muthaiah ,SP Pillai ,Bahadoor ,Jayabharathi ,Meena ,Alfred Antony"
1967,Aval (1967),"Madhu ,KP Ummer ,Adoor Bhasi ,Kaduvakkulam Antony ,Kedamangalam Ali ,Krishnankutty ,Sushama (Maya) ,Meena ,Shanthadevi ,Ushanandini"
1967,Swapnabhoomi (1967),"Prem Nazeer ,Sathyan ,Adoor Bhasi ,Nambiar B N ,Lakshmi (Old) ,Kaviyoor Ponnamma ,Sheela"
1967,Kaamuki (1967),"Madhu ,Ushanandini ,PJ Antony"
1967,Arakkillam (1967),"Sathyan ,Adoor Bhasi ,Sree Narayanapillai ,SP Pillai ,Kaduvakkulam Antony ,Paul Vengola ,Sarada ,Ms Kumari"
1967,Baalyakaalasakhi (1967),"Prem Nazeer ,Kottarakkara Sreedharan Nair ,TS Muthaiah ,Pradeep ,Sheela ,Meena ,Baby Usha ,TR Omana ,Nalini Sr. ,Kamala ,Bahadoor ,Manavalan Joseph ,Shukkur ,Mala Shantha ,Jolly ,PK Antony ,KB Pandarathil"
1967,Chithramela (1967),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,GK Pillai ,SP Pillai ,KP Ummer ,Manavalan Joseph ,Sarada ,Sheela ,TR Omana ,Sukumari ,Nellikkodu Bhaskaran ,Kottayam Chellappan ,Bahadoor ,Prathapachandran ,Sreenarayana Pillai ,Kaduvakkulam Antony ,JAR Anand ,Meena ,Khadeeja ,"
1967,Iruttinte Aathmaavu (1967),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,PJ Antony ,Sankaradi ,TS Muthaiah ,Sarada ,Philomina ,Ushakumari ,Jr Padmini ,Santha Devi ,Kaduvakkulam Antony ,MS Namboothiri ,Balaji ,Adoor Bhasi"
1967,Pooja (1967),"Prem Nazeer ,Kottarakkara Sreedharan Nair ,TS Muthaiah ,Bahadoor ,Panjabi ,Prathapan ,GK Pillai ,Sheela ,Vijayanirmala ,Sukumari"
1967,Khadeeja (1967),"Sathyan ,Madhu ,KP Ummer ,Bahadoor ,Kottayam Chellappan ,SP Pillai ,Sheela ,Jayabharathi ,Sukumari ,Sreelatha Namboothiri ,Manavalan Joseph ,Kaduvakkulam Antony ,Sebastian ,Kamaladevi ,Baby Kumudam"
1967,Collector Malathi (1967),"Prem Nazeer ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Manavalan Joseph ,Aranmula Ponnamma ,Ambika Sukumaran ,Sheela ,Adoor Bhasi ,Sankaradi ,Vallathol Unnikrishnan ,Pattam Sadan ,Sukumari ,Jayakumari"
1967,Sheelaavathi (1967),"Sathyan ,PJ Antony ,Sankaradi ,KR Vijaya ,TR Omana ,Vijayalalitha ,Ushakumari ,Kottayam Chellappan ,SP Pillai ,Nellikkodu Bhaskaran"
1967,Cochin Express (1967),"Prem Nazeer ,Adoor Bhasi ,GK Pillai ,Sankaradi ,Sheela ,Sakunthala ,Devakibhai ,Vijayalalitha ,Kottarakkara Sreedharan Nair ,Lakshmi (Old)"
1967,Kasavuthattam (1967),"Prem Nazeer ,Kottarakkara Sreedharan Nair ,SP Pillai ,Adoor Bhasi ,Bahadoor ,Manavalan Joseph ,Nagu ,Jijo ,Sarada ,Pankajavalli ,Rajeswari"
1967,Kottayam Kolakkes (1967),"Prem Nazeer ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Sankaradi ,GK Pillai ,Indira Priyadarsini ,Sheela ,Kamaladevi ,Shanthadevi"
1967,Lady Doctor (1967),"Madhu ,Kottarakkara Sreedharan Nair ,Muthukulam Raghavan Pillai ,SP Pillai ,Joseph Chacko ,Vaikam Mani ,Sheela ,KV Shanthi ,Rajeswari ,Pankajavalli ,Aranmula Ponnamma"
1967,Kanaatha Veshangal (1967),"Prem Nazeer ,KP Ummer ,GK Pillai ,Adoor Bhasi ,Sheela ,Ms Kumari ,Jayabharathi ,Sukumari"
1967,Ollathumathi (1967),"Sathyan ,Prem Nazeer ,Madhu ,KP Ummer ,Kottarakkara Sreedharan Nair ,Muthukulam Raghavan Pillai ,SP Pillai ,Adoor Bhasi ,Bahadoor ,TS Muthaiah ,Sankaradi ,GK Pillai ,Kaduvakkulam Antony ,MG Menon ,KM Warrier ,Shobha ,Indirarani ,Sheela ,Meena ,TR Omana ,Adoor Pankajam ,Kamala Devi ,Shubha ,Susheela"
1967,Chekuthaante Kotta (1967),"Madhu ,Sathyan ,Bahadoor ,SP Pillai ,PJ Antony ,Kuttan Pillai ,JAR Anand ,Sankaradi ,Ambika Sukumaran"
1967,Bhaagyamudra (1967),"Prem Nazeer ,Muthukulam Raghavan Pillai ,Manavalan Joseph ,Adoor Bhasi ,Meena ,Kottayam Shantha ,Kalavathi ,GK Pillai ,KR Vijaya ,Sukumari ,CR Lakshmi ,Devaki ,Baby Shakeela"
1967,Udyogastha (1967),"Sathyan ,Madhu ,TS Muthaiah ,Prem Nazeer ,KP Ummer ,Adoor Bhasi ,Kaduvakkulam Antony ,Nellikkodu Bhaskaran ,Sarada ,Sukumari ,Shobha ,Ravi Vamanapuram ,Punjabi ,Sreedharan ,Vijayanirmala ,Mala Shantha ,Lakshmi (Old)"
1967,Sahadharmini (1967),"Sathyan ,Adoor Bhasi ,Hari ,Muthukulam Raghavan Pillai ,O Ramdas ,Shaji ,Pankajavalli ,TR Omana ,Ushakumari ,Kaviyoor Ponnamma"
